Date : 2023-11-21 23:13:16
Directory : /Users/kenny/Desktop/Haleys-Hope
Total : 150 files,  15862 codes, 1325 comments, 1464 blanks, all 18651 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript JSX     |         78 |     11,576 |        716 |        893 |     13,185 |
| JavaScript         |         53 |      3,017 |        504 |        397 |      3,918 |
| SQL                |          1 |        529 |         18 |         26 |        573 |
| CSS                |          7 |        350 |         77 |        103 |        530 |
| JSON               |          4 |        233 |          0 |          2 |        235 |
| Markdown           |          1 |         83 |          0 |         39 |        122 |
| XML                |          3 |         36 |          1 |          2 |         39 |
| HTML               |          1 |         17 |          0 |          1 |         18 |
| YAML               |          1 |         16 |          5 |          1 |         22 |
| JSON with Comments |          1 |          5 |          4 |          0 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |        150 |     15,862 |      1,325 |      1,464 |     18,651 |
| . (Files)                                                                                    |          8 |        926 |         23 |         68 |      1,017 |
| .github                                                                                      |          1 |         16 |          5 |          1 |         22 |
| public                                                                                       |          4 |         53 |          1 |          3 |         57 |
| public (Files)                                                                               |          1 |         17 |          0 |          1 |         18 |
| public/assets                                                                                |          3 |         36 |          1 |          2 |         39 |
| public/assets/icons                                                                          |          3 |         36 |          1 |          2 |         39 |
| server                                                                                       |         18 |      1,446 |        292 |        194 |      1,932 |
| server (Files)                                                                               |          1 |         38 |          8 |         11 |         57 |
| server/constants                                                                             |          1 |         17 |          0 |          7 |         24 |
| server/modules                                                                               |          4 |         63 |         44 |         19 |        126 |
| server/routes                                                                                |         11 |      1,284 |        224 |        151 |      1,659 |
| server/strategies                                                                            |          1 |         44 |         16 |          6 |         66 |
| src                                                                                          |        119 |     13,421 |      1,004 |      1,198 |     15,623 |
| src (Files)                                                                                  |          2 |        137 |          9 |         37 |        183 |
| src/components                                                                               |         81 |     11,606 |        784 |        911 |     13,301 |
| src/components/AboutPage                                                                     |          1 |         15 |          0 |          3 |         18 |
| src/components/AddCoach                                                                      |          1 |         77 |          1 |          8 |         86 |
| src/components/AddTests                                                                      |          7 |      2,249 |        182 |        182 |      2,613 |
| src/components/App                                                                           |          2 |        247 |         81 |         32 |        360 |
